水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1561,彦根市里根町　 ,100,2475159,-8169991,0351547484,1361619452,
01,消火栓,彦根市,1562,彦根市芹川町　 ,75,2412656,-8244703,0351523292,1361554640,
01,消火栓,彦根市,1563,彦根市平田町　 ,75,2235022,-8222641,0351530600,1361444376,
01,消火栓,彦根市,1564,彦根市平田町　 ,75,2238774,-8231505,0351527720,1361445852,
01,消火栓,彦根市,1565,彦根市平田町　 ,75,2228167,-8247061,0351522680,1361441640,
01,消火栓,彦根市,1566,彦根市高宮町　 ,150,2392820,-8442752,0351419032,1361546584,
01,消火栓,彦根市,1567,彦根市高宮町　 ,75,2377600,-8468637,0351410644,1361540536,
01,消火栓,彦根市,1568,彦根市高宮町　 ,75,2362598,-8487019,0351404691,1361534583,
01,消火栓,彦根市,1569,彦根市八坂町　 ,200,2007078,-8211610,0351534354,1361314192,
01,消火栓,彦根市,1570,彦根市堀町　 ,75,2198409,-8519158,0351354395,1361429603,
01,消火栓,彦根市,1571,彦根市堀町　 ,75,2220885,-8504642,0351359088,1361438508,
01,消火栓,彦根市,1572,彦根市南川瀬町　 ,100,2090824,-8658470,0351309264,1361346920,
01,消火栓,彦根市,1573,彦根市南川瀬町　 ,100,2098212,-8664664,0351307248,1361349836,
01,消火栓,彦根市,1574,彦根市南川瀬町　 ,100,2092111,-8663680,0351307572,1361347424,
01,消火栓,彦根市,1575,彦根市南川瀬町　 ,100,2093682,-8674103,0351304188,1361348036,
01,消火栓,彦根市,1576,彦根市極楽寺町　 ,150,2119338,-8548820,0351344830,1361358299,
01,消火栓,彦根市,1577,彦根市極楽寺町　 ,150,2112925,-8559195,0351341467,1361355753,
01,消火栓,彦根市,1578,彦根市川瀬馬場町　 ,150,2106863,-8568950,0351338306,1361353346,
